"","SubjectTag","CASEID","S00_H40"
"189",18900,189,78.3636823469904
"190",19000,190,83.3606350806452
"191",19100,191,88.7183422870299
"192",19200,192,81.1652596572013
"193",19300,193,82.3882728494624
"194",19400,194,90.5367943548387
"195",19500,195,91.4598789119127
"196",19600,196,85.2696572580645
"197",19700,197,28.9012535175237
"198",19800,198,86.1153747761576
"199",19900,199,58.9878059179671
"200",20000,200,43.4650805832694
"201",20100,201,88.3175577726614
"202",20200,202,56.3123561013047
"203",20300,203,NA
"204",20400,204,15.7384667860493
"205",20500,205,58.1030954208237
"206",20600,206,NA
"207",20700,207,29.6751087234587
"208",20800,208,29.3598790322581
"209",20900,209,19.3145161290323
"210",21000,210,80.7220536165908
"211",21100,211,73.6706149193548
"212",21200,212,61.6078280890253
"213",21300,213,89.0806777946383
"214",21400,214,70.9977238239757
"215",21500,215,NA
"216",21600,216,NA
"217",21700,217,NA
"218",21800,218,87.9494287634409
"219",21900,219,92.2211021505376
"220",22000,220,87.7898185483871
"221",22100,221,5.46815042210284
"222",22200,222,47.8704637096774
"223",22300,223,30.0652340752111
"224",22400,224,28.7558803763441
"225",22500,225,NA
"226",22600,226,NA
"227",22700,227,56.9304435483871
"228",22800,228,4.73790322580645
"229",22900,229,5.39944556451613
"230",23000,230,59.8938347403428
"231",23100,231,57.7923387096774
"232",23200,232,49.4140625
"233",23300,233,35.8366935483871
"234",23400,234,34.9002302379125
"235",23500,235,71.8789971859811
"236",23600,236,61.6683467741936
"237",23700,237,32.4848790322581
"238",23800,238,NA
"239",23900,239,11.8892299820926
"240",24000,240,49.9936772888214
"241",24100,241,NA
"242",24200,242,72.8617719791933
"243",24300,243,56.5188172043011
"244",24400,244,45.251556237742
"245",24500,245,71.5857359635812
"246",24600,246,NA
"247",24700,247,87.8997185981069
"248",24800,248,21.9941161422359
"249",24900,249,70.3824507546687
"250",25000,250,33.6189516129032
"251",25100,251,36.4991046303402
"252",25200,252,37.2101814516129
"253",25300,253,11.8234699038948
"254",25400,254,28.4919416730622
"255",25500,255,47.3664314516129
"256",25600,256,45.7661290322581
"257",25700,257,24.6648963075367
"258",25800,258,62.2059811827957
"259",25900,259,53.6241152895029
"260",26000,260,66.2189818367869
"261",26100,261,90.0486057815298
"262",26200,262,NA
"263",26300,263,NA
"264",26400,264,NA
"265",26500,265,80.5576873880788
"266",26600,266,NA
"267",26700,267,NA
"268",26800,268,34.535686876439
"269",26900,269,88.9229982092607
"270",27000,270,NA
"271",27100,271,NA
"272",27200,272,83.2501918649271
"273",27300,273,62.6016465053763
"274",27400,274,44.4678946022001
"275",27500,275,73.5546175492453
"276",27600,276,62.336189516129
